=== GC_1m_1789910262328.csv (5004 5m bars (aggregated), tickSize=0.1, stopRule=ZONE_SIZE_MULTIPLE(1.5), RR=1.0) ===
structure: 95 valid pullbacks, 66 TJL pairs formed, 26 flips
trades: 234 (65W / 163L / 6 flat)
totalR=-98.00 avgR=-0.42 maxDrawdownR=100.00

  2026-09-11T03:30:00Z SHORT entry=4349.10 stop=4351.70 target=4346.50 exit=4351.70 (stop) R=-1.00
  2026-09-11T04:05:00Z SHORT entry=4358.70 stop=4361.30 target=4356.10 exit=4361.30 (stop) R=-1.00
  2026-09-11T05:30:00Z SHORT entry=4378.80 stop=4379.90 target=4377.70 exit=4379.90 (stop) R=-1.00
  2026-09-11T05:40:00Z SHORT entry=4383.20 stop=4384.30 target=4382.10 exit=4384.30 (stop) R=-1.00
  2026-09-11T10:55:00Z LONG  entry=4379.40 stop=4378.30 target=4380.50 exit=4380.50 (target) R=1.00
  2026-09-11T11:05:00Z LONG  entry=4379.20 stop=4378.10 target=4380.30 exit=4378.10 (stop) R=-1.00
  2026-09-11T11:15:00Z LONG  entry=4380.30 stop=4379.20 target=4381.40 exit=4379.20 (stop) R=-1.00
  2026-09-11T11:25:00Z LONG  entry=4378.20 stop=4377.10 target=4379.30 exit=4377.10 (stop) R=-1.00
  2026-09-11T12:25:00Z LONG  entry=4382.10 stop=4381.00 target=4383.20 exit=4381.00 (stop) R=-1.00
  2026-09-11T12:35:00Z LONG  entry=4391.50 stop=4390.40 target=4392.60 exit=4392.60 (target) R=1.00
  2026-09-11T13:55:00Z LONG  entry=4443.90 stop=4440.60 target=4447.20 exit=4440.60 (stop) R=-1.00
  2026-09-11T14:05:00Z LONG  entry=4429.60 stop=4426.30 target=4432.90 exit=4426.30 (stop) R=-1.00
  2026-09-14T01:55:00Z SHORT entry=4394.50 stop=4394.50 target=4394.50 exit=4394.50 (stop) R=0.00
  2026-09-14T02:05:00Z SHORT entry=4393.80 stop=4393.80 target=4393.80 exit=4393.80 (stop) R=0.00
  2026-09-14T02:20:00Z SHORT entry=4394.60 stop=4394.60 target=4394.60 exit=4394.60 (stop) R=0.00
  2026-09-14T02:30:00Z SHORT entry=4396.50 stop=4396.50 target=4396.50 exit=4396.50 (target) R=0.00
  2026-09-14T15:35:00Z SHORT entry=4338.40 stop=4338.70 target=4338.10 exit=4338.70 (stop) R=-1.00
  2026-09-14T16:10:00Z SHORT entry=4334.90 stop=4335.20 target=4334.60 exit=4335.20 (stop) R=-1.00
  2026-09-14T19:20:00Z LONG  entry=4338.00 stop=4337.70 target=4338.30 exit=4337.70 (stop) R=-1.00
  2026-09-14T19:30:00Z LONG  entry=4333.80 stop=4333.50 target=4334.10 exit=4333.50 (stop) R=-1.00
  2026-09-14T20:20:00Z LONG  entry=4336.50 stop=4336.20 target=4336.80 exit=4336.80 (target) R=1.00
  2026-09-14T20:35:00Z LONG  entry=4336.90 stop=4336.60 target=4337.20 exit=4336.60 (stop) R=-1.00
  2026-09-14T20:45:00Z LONG  entry=4337.60 stop=4337.30 target=4337.90 exit=4337.30 (stop) R=-1.00
  2026-09-14T22:10:00Z LONG  entry=4337.20 stop=4336.90 target=4337.50 exit=4336.90 (stop) R=-1.00
  2026-09-14T22:20:00Z LONG  entry=4336.50 stop=4336.20 target=4336.80 exit=4336.20 (stop) R=-1.00
  2026-09-14T22:30:00Z LONG  entry=4337.40 stop=4337.10 target=4337.70 exit=4337.10 (stop) R=-1.00
  2026-09-14T22:40:00Z LONG  entry=4336.20 stop=4335.90 target=4336.50 exit=4335.90 (stop) R=-1.00
  2026-09-14T22:50:00Z LONG  entry=4336.80 stop=4336.50 target=4337.10 exit=4336.50 (stop) R=-1.00
  2026-09-14T23:00:00Z LONG  entry=4334.80 stop=4334.50 target=4335.10 exit=4334.50 (stop) R=-1.00
  2026-09-15T00:50:00Z LONG  entry=4334.90 stop=4334.60 target=4335.20 exit=4334.60 (stop) R=-1.00
  2026-09-15T01:00:00Z LONG  entry=4336.40 stop=4336.10 target=4336.70 exit=4336.10 (stop) R=-1.00
